symbol,interval,price,buyAmount,gainProfit,gainAmount,totalAmount,startDate,endDate,avgDate,volume,quoteVolume
BTCUSDT,30M,null,500,1.308801214,6.54400607,506.5440061,7/20/2021 4:30,7/20/2021 15:25,0 days 10:55:00,970815.57,1022728.227
BTCUSDT,30M,null,500,1.29740519,6.487025948,506.4870259,7/25/2021 14:05,7/25/2021 21:55,0 days 07:50:00,896903.25,1080528.507
BTCUSDT,30M,null,500,1.274044467,6.370222333,506.3702223,7/25/2021 14:20,7/25/2021 22:30,0 days 08:10:00,1628003.9,1955886.872
BTCUSDT,30M,null,500,1.265139242,6.325696212,506.3256962,7/12/2021 19:30,7/13/2021 7:15,0 days 11:45:00,1339028.96,1739861.574
BTCUSDT,30M,null,500,1.260423656,6.302118279,506.3021183,8/16/2021 20:00,8/17/2021 1:25,0 days 05:25:00,2580834.96,5406870.68
BTCUSDT,30M,null,500,1.205228314,6.026141572,506.0261416,7/16/2021 10:05,7/17/2021 19:50,1 days 09:45:00,413045.02,487112.34
BTCUSDT,30M,null,500,1.195332511,5.976662556,505.9766626,7/20/2021 3:45,7/20/2021 15:35,0 days 11:50:00,1695992.75,1790195.978
BTCUSDT,30M,null,500,1.193633952,5.968169761,505.9681698,7/20/2021 3:40,7/20/2021 15:25,0 days 11:45:00,1320901.09,1397880.027
BTCUSDT,30M,null,500,1.193364694,5.966823471,505.9668235,8/17/2021 19:20,8/18/2021 15:45,0 days 20:25:00,1859388.64,3749209.957
BTCUSDT,30M,null,500,1.18855916,5.942795798,505.9427958,7/12/2021 18:55,7/12/2021 23:15,0 days 04:20:00,1895613.04,2467357.032
BTCUSDT,30M,null,500,1.188051595,5.940257977,505.940258,7/16/2021 9:45,7/17/2021 19:50,1 days 10:05:00,490716.58,578424.351
BTCUSDT,30M,null,500,1.157385447,5.786927237,505.7869272,7/20/2021 3:55,7/20/2021 15:30,0 days 11:35:00,850541.07,898180.2926
BTCUSDT,30M,null,500,1.152815013,5.764075067,505.7640751,7/19/2021 13:55,7/19/2021 21:20,0 days 07:25:00,1151080.12,1289776.087
BTCUSDT,30M,null,500,1.135144798,5.67572399,505.675724,7/19/2021 13:50,7/19/2021 21:15,0 days 07:25:00,1031031.29,1153833.64
BTCUSDT,30M,null,500,1.134273452,5.671367259,505.6713673,7/12/2021 18:15,7/12/2021 23:15,0 days 05:00:00,404721.13,528341.0147
BTCUSDT,30M,null,500,1.124287694,5.621438472,505.6214385,7/12/2021 19:40,7/13/2021 7:10,0 days 11:30:00,690420.16,898893.4397
BTCUSDT,30M,null,500,1.103955842,5.519779209,505.5197792,7/12/2021 18:50,7/13/2021 7:30,0 days 12:40:00,244967.28,319708.5262
BTCUSDT,30M,null,500,1.090254077,5.451270383,505.4512704,7/20/2021 4:25,7/20/2021 15:30,0 days 11:05:00,612126.39,646011.1463
BTCUSDT,30M,null,500,1.088293745,5.441468723,505.4414687,7/20/2021 3:20,7/20/2021 15:25,0 days 12:05:00,3599563.97,3795694.729
BTCUSDT,30M,null,500,1.068521031,5.342605156,505.3426052,7/16/2021 9:55,7/18/2021 0:40,1 days 14:45:00,474974.02,561099.6976
BTCUSDT,30M,null,500,1.044456347,5.222281735,505.2222817,7/19/2021 14:15,7/19/2021 21:20,0 days 07:05:00,888908.72,998785.1826
BTCUSDT,30M,null,500,1.036812254,5.184061269,505.1840613,8/24/2021 13:40,8/24/2021 19:10,0 days 05:30:00,5197045.95,14415241.76
BTCUSDT,30M,null,500,1.035991784,5.179958918,505.1799589,7/19/2021 14:25,7/19/2021 22:05,0 days 07:40:00,504468.54,565080.5276
BTCUSDT,30M,null,500,1.033723098,5.168615489,505.1686155,7/16/2021 9:25,7/17/2021 19:50,1 days 10:25:00,495097.91,585234.0251
BTCUSDT,30M,null,500,1.002269289,5.011346445,505.0113464,7/20/2021 4:20,7/20/2021 15:25,0 days 11:05:00,720314.63,762335.2426
BTCUSDT,30M,null,500,0.994948722,4.974743609,504.9747436,7/12/2021 18:45,7/12/2021 23:15,0 days 04:30:00,277988.04,363041.0778
BTCUSDT,30M,null,500,0.945000945,4.725004725,504.7250047,7/20/2021 4:05,7/20/2021 15:25,0 days 11:20:00,1128442.7,1194209.506
BTCUSDT,30M,null,500,0.933149763,4.665748814,504.6657488,7/12/2021 18:35,7/12/2021 23:15,0 days 04:40:00,174993.94,228595.2533
BTCUSDT,30M,null,500,0.912395223,4.561976115,504.5619761,8/24/2021 14:10,8/25/2021 12:50,0 days 22:40:00,7999506.81,21674040.67
BTCUSDT,30M,null,500,0.908389751,4.541948753,504.5419488,7/16/2021 11:55,7/17/2021 16:25,1 days 04:30:00,1090488.98,1273787.895
BTCUSDT,30M,null,500,0.894563805,4.472819023,504.472819,7/12/2021 18:25,7/12/2021 23:15,0 days 04:50:00,468025.99,612522.094
