symbol,interval,price,buyAmount,gainProfit,gainAmount,totalAmount,startDate,endDate,avgDate,volume,quoteVolume
BNBUSDT,5M,null,500,3.3269598470363246,16.634799235181625,516.6347992351816,2021-07-20 03:25:00,2021-07-20 15:30:00,0 days 12:05:00,15707.54870000,4117304.07756300
BNBUSDT,5M,null,500,3.74750422362156,18.7375211181078,518.7375211181078,2021-07-20 03:45:00,2021-07-20 15:30:00,0 days 11:45:00,9727.72210000,2536881.85612900
BNBUSDT,5M,null,500,3.413962033067979,17.069810165339895,517.06981016534,2021-07-20 04:05:00,2021-07-20 15:30:00,0 days 11:25:00,8902.11960000,2323729.27438600
BNBUSDT,5M,null,500,3.839206794512129,19.196033972560645,519.1960339725606,2021-07-20 04:25:00,2021-07-20 15:30:00,0 days 11:05:00,4849.09740000,1262881.72511600
BNBUSDT,5M,null,500,-8.065285539048663,-40.32642769524331,459.6735723047567,2021-07-19 12:20:00,2021-07-20 20:00:00,1 days 07:40:00,4439.60290000,1305269.68187400
BNBUSDT,5M,null,500,-4.030020630290953,-20.150103151454765,479.84989684854526,2021-07-19 13:00:00,2021-07-20 20:00:00,1 days 07:00:00,53099.50340000,14880347.20005400
BNBUSDT,5M,null,500,-4.060733207694775,-20.303666038473875,479.69633396152614,2021-07-19 13:40:00,2021-07-20 20:00:00,1 days 06:20:00,11071.92390000,3105259.59725000
BNBUSDT,5M,null,500,-4.495416091465785,-22.477080457328924,477.52291954267105,2021-07-19 14:20:00,2021-07-20 20:00:00,1 days 05:40:00,12351.82600000,3484638.42626000
BNBUSDT,5M,null,500,0.4766692734517669,2.3833463672588344,502.3833463672588,2021-07-20 02:25:00,2021-07-20 20:00:00,0 days 17:35:00,9607.38830000,2582585.16443300
BNBUSDT,5M,null,500,3.0871508806785557,15.435754403392778,515.4357544033927,2021-07-20 03:15:00,2021-07-20 20:00:00,0 days 16:45:00,55087.83170000,14497431.28456900
BNBUSDT,5M,null,500,3.969018534931221,19.845092674656104,519.845092674656,2021-07-20 03:55:00,2021-07-20 20:00:00,0 days 16:05:00,10852.82180000,2824820.18671900
BNBUSDT,5M,null,500,-5.146929747568715,-25.734648737843575,474.2653512621564,2021-07-19 12:40:00,2021-07-20 20:05:00,1 days 07:25:00,28234.00300000,8021215.99363400
BNBUSDT,5M,null,500,-3.7204661273653814,-18.602330636826906,481.39766936317307,2021-07-19 14:00:00,2021-07-20 20:05:00,1 days 06:05:00,20451.21910000,5734639.54619900
BNBUSDT,5M,null,500,0.9905801435406827,4.952900717703414,504.95290071770336,2021-07-20 02:50:00,2021-07-20 20:05:00,0 days 17:15:00,9591.13580000,2571326.62653500
BNBUSDT,5M,null,500,3.5649940583432405,17.824970291716202,517.8249702917161,2021-07-20 04:15:00,2021-07-20 20:05:00,0 days 15:50:00,10195.59370000,2657407.38783900
BNBUSDT,5M,null,500,-4.2427897406789805,-21.2139487033949,478.78605129660514,2021-07-19 13:20:00,2021-07-20 20:10:00,1 days 06:50:00,13970.29240000,3940063.80930800
BNBUSDT,5M,null,500,3.247399020807837,16.236995104039185,516.2369951040392,2021-07-20 03:35:00,2021-07-20 20:10:00,0 days 16:35:00,15043.01050000,3920905.70884800
BNBUSDT,5M,null,500,-4.78908975578813,-23.945448778940648,476.05455122105934,2021-07-19 14:40:00,2021-07-20 20:15:00,1 days 05:35:00,9776.55340000,2770257.95330700
BNBUSDT,5M,null,500,0.16246672888795688,0.8123336444397844,500.8123336444398,2021-07-23 11:50:00,2021-07-23 20:45:00,0 days 08:55:00,14788.11930000,4284832.44697900
BNBUSDT,5M,null,500,0.5378022969362658,2.689011484681329,502.6890114846814,2021-07-23 12:00:00,2021-07-23 20:45:00,0 days 08:45:00,24998.97340000,7229318.59519100
BNBUSDT,5M,null,500,0.6250868176135614,3.125434088067807,503.1254340880678,2021-07-23 12:10:00,2021-07-23 20:45:00,0 days 08:35:00,14149.22630000,4066109.92446000
BNBUSDT,5M,null,500,1.8560179977502713,9.280089988751357,509.2800899887514,2021-07-23 16:10:00,2021-07-23 20:45:00,0 days 04:35:00,13967.74050000,3969703.19647200
BNBUSDT,5M,null,500,2.5917008922248947,12.958504461124475,512.9585044611244,2021-07-23 16:20:00,2021-07-23 20:45:00,0 days 04:25:00,14676.07220000,4141033.72059500
BNBUSDT,5M,null,500,2.6134995396274507,13.067497698137254,513.0674976981373,2021-07-23 16:30:00,2021-07-23 20:45:00,0 days 04:15:00,4405.80780000,1244831.85407300
BNBUSDT,5M,null,500,2.4429909846208124,12.214954923104061,512.2149549231041,2021-07-23 16:40:00,2021-07-23 20:45:00,0 days 04:05:00,4227.12580000,1197564.45776600
BNBUSDT,5M,null,500,2.9415944294443555,14.707972147221778,514.7079721472218,2021-07-23 17:10:00,2021-07-23 20:45:00,0 days 03:35:00,5761.40670000,1625041.66858600
BNBUSDT,5M,null,500,1.4774064078610611,7.387032039305305,507.3870320393053,2021-07-23 11:55:00,2021-07-23 22:35:00,0 days 10:40:00,8174.83260000,2365868.11793700
BNBUSDT,5M,null,500,2.9015507683671458,14.50775384183573,514.5077538418358,2021-07-23 16:05:00,2021-07-23 22:35:00,0 days 06:30:00,12228.54390000,3491547.04422000
